Индекс,Автор,Ссылка,Название,Год,Средний_балл,Проголосовало,Баллы,Описание,Жанр
15,Марк Твен,https://www.100bestbooks.ru/item_info.php?id=44,Приключения Тома Сойера,1876,1.21,5001,6085,"Приключения Тома Сойера (англ. The Adventures Of Tom Sawyer) – замечательный, добрый и невероятно остроумный роман Марка Твена, на котором выросло не одно поколение детворы по всему миру. В книге рассказывается о проделках двух американских мальчишек. Писатель с большим мастерством рисует жизнь провинциального городка в Америке 40-х годов XIX века, что интересно, что вымышленному городу места действия автор дал имя… Санкт-Петербург. Интересный факт связан с процессом создания произведения. Сам Марк Твен утверждал в свое время, что это произведение было, по всей видимости, наиболее прогрессивным с точки зрения “процесса производства” – это первое литературное произведение, рукопись которого была напечатана на пишущей машинке (впрочем, не все исследователи с этим согласны).",Плутовской роман
18,Роберт Льюис Стивенсон,https://www.100bestbooks.ru/item_info.php?id=145,Остров сокровищ,1883,1.4,3692,5201,В руки юного Джима попадает карта знаменитого флибустьера Флинта. Джим и его друзья отправляются в опасное путешествие на поиски пиратского клада. На Острове Сокровищ им пришлось пережить опасные приключения.,Роман
20,Джером Д. Сэлинджер,https://www.100bestbooks.ru/item_info.php?id=6,Над пропастью во ржи,1951,0.91,5158,4737,"""Над пропастью во ржи"" - самая знаменитая повесть Дж.Д.Сэлинджера, принесшая автору грандиозный успех и необычайную популярность как в США, так и во всем мире. Современники приняли эту книгу как откровение. Молодые люди видели в главном герое повести, шестнадцатилетнем Холдене Колфилде выразителя своих взглядов и настроений, иммпонировали его наивность и жажда правды, противостоящие лицемерию и фальши, царящим в обществе. Откровенная история подростка Холдена Колфилда, рассказанная им самим, и по сей день не оставляет равнодушными сердца юных читателей, вступающих в жизнь.  Его трагедия была в том, что, когда он пытался вступить в род человеческий, не было там рода человеческого. У.Фолкнер",Современная проза
21,Антон Макаренко,https://www.100bestbooks.ru/item_info.php?id=5374,Педагогическая поэма,1931,2.35,1803,4251,"«Педагогическая поэма» — широко известное и наиболее значительное произведение советского педагога и писателя А.С. Макаренко. В ней рассказывается о перевоспитании несовершеннолетних правонарушителей в детской трудовой колонии, создателем и руководителем которой в 20-е годы был автор. Книга адресована широкому кругу читателей. ",Детская литература
23,Анатолий Рыбаков,https://www.100bestbooks.ru/item_info.php?id=2329,Кортик,1947,1.72,2163,3721,"Герои Анатолия Рыбакова – обычные московские школьники. Наблюдательность и любопытство арбатских мальчишек Миши, Генки и Славки не дают им скучать, они предпочитают жизнь насыщенную и беспокойную. Загадка старинного кортика увлекает ребят в приключения, полные таинственных событий и опасностей.",Детская литература
24,Жюль Верн,https://www.100bestbooks.ru/item_info.php?id=486,Пятнадцатилетний капитан,1878,1.6,2303,3687,"В романе описываются приключения пассажиров китобойного брига «Пилигрим», почти весь экипаж которого погиб в результате схватки с китом. Командование принимает пятнадцатилетний юнга, а кок, оказавшийся агентом рабовладельцев, обманом изменил курс корабля так, что вместо Южной Америки бриг прибыл в Африку.",Приключения
25,Чарльз Диккенс,https://www.100bestbooks.ru/item_info.php?id=2328,Приключения Оливера Твиста,1838,1.53,2358,3619,"В романе великого английского писателя Чарльза Диккенса (1812-1870) ""Приключения Оливера Твиста"" рассказывается история мальчика, рождённого в доме презрения и обречённого на голод и скитания по мрачным трущобам Лондона.",Детская литература
27,Джон Толкиен,https://www.100bestbooks.ru/item_info.php?id=31,Властелин колец,1954,0.48,6514,3137,"Трилогия «Властелин Колец» бесспорно возглавляет список «культовых» книг XX века. Ее автор, Дж. Р. Р. Толкин, профессор Оксфордского университета, специалист по древнему и средневековому английскому языку, создал удивительный мир — Средиземье, который вот уже без малого пятьдесят лет неодолимо влечет к себе миллионы читателей. Там, в Средиземье, в стране, управляемой советом волшебников, где в серебряных лесах поют эльфы, в глубоких пещерах добывают драгоценный мифрил гномы, а бескорыстие добрых чародеев постоянно подвергается испытаниям, — разгорается битва Света и Тьмы, исход которой, по воле провидения, зависит от самых маленьких жителей — Хоббитов. История Кольца Всевластья послужила основой множеству телевизионных и театральных постановок, мультфильмов, компьютерных игр и комиксов. Тысячи людей по всему миру ежегодно собираются для участия в ролевых играх, основанных на сюжетах, взятых у Толкина. Эпопею Толкина, как миф, можно интерпретировать по-разному — и как повествование о бывших или будущих событиях, и как притчу, и как аллегорию, и как историю духовного восхождения, и как фантастику, — все толкования будут верны, но ни одно не станет полным. Впервые роман был опубликован в 1954—1955 годах лондонским издательством Allen & Unwin. Роман был опубликован в трех томах (Братство кольца / Две крепости / Возвращение Короля), что вызвало некоторое неудовольствие Толкина, который был против подобного разделения. Переведён, по меньшей мере, на 38 языков. Впервые все части романа были объединены в одном томе в 1968 году, в это издание Толкином были внесены некоторые изменения.",Приключения
29,Джоан Роулинг,https://www.100bestbooks.ru/item_info.php?id=8,Серия книг о Гарри Поттере,1997,0.36,7445,2749,"Серия из 7 книг о юном волшебнике Гарри Поттере.1) Гарри Поттер и философский камень (Harry Potter and the Philosopher's Stone), 19972) Гарри Поттер и тайная комната (Harry Potter and the Chamber of Secrets), 19983) Гарри Поттер и узник Азкабана (Harry Potter and the Prisoner of Azkaban), 19994) Гарри Поттер и Кубок огня (Harry Potter and the Goblet of Fire), 20005) Гарри Поттер и Орден Феникса (Harry Potter and the Order of the Phoenix), 20036) Гарри Поттер и Принц-полукровка (Harry Potter and the Half-Blood Prince), 20057) Гарри Поттер и Дары Смерти (Harry Potter and the Deathly Hallows), 2007",Фэнтези
30,Харпер Ли,https://www.100bestbooks.ru/item_info.php?id=70,Убить пересмешника,1960,1.63,1612,2631,"Роман «Убить пересмешника...», впервые опубликованный в 1960 году, имел оглушительный успех и сразу же стал бестселлером. Это и неудивительно: Харпер Ли (1926–1975), усвоив уроки Марка Твена, нашла свой собственный стиль повествования, который позволил ей показать мир взрослых глазами ребёнка, не упрощая и не обедняя его. Роман был удостоен одной из самых престижных премий США по литературе — Пулитцеровской, печатался многомиллионными тиражами. Его перевели на десятки языков мира и продолжают переиздавать по сей день.  «Убить пересмешника...» — это роман о нравах. Действие его точно локализовано во времени и в пространстве: провинциальный городок в Алабаме — Мейкомба — в середине 1930-х гг., то есть в пору тяжёлой экономической депрессии. Здесь показаны основные социальные группировки-богатые землевладельцы, негры, работающие на них потомки плантаторов, преуспевающие или бедствующие, но сохраняющие «благородные понятия», манеры и претензии, бедняки, именуемые в просторечии «белой швалью». В тексте романа фигурируют непременные деятели провинциальной Америки — судья, шериф, учитель, доктор, адвокат. Они олицетворяют власть, духовную и светскую, закон и дух стабильности, хотя и подвержены традиционным предрассудкам, социальным и расовым предубеждениям, подобно всем прочим обитателям Мейкомба.",Современная проза
31,Владимир Обручев,https://www.100bestbooks.ru/item_info.php?id=6982,Плутония,1915,3.07,825,2534,"Владимир Афанасьевич Обручев – русский, советский писатель, ученый-географ с мировым именем, исследователь Сибири и Средней Азии, академик АН СССР. Его роман «Плутония» – увлекательная история о путешествии в земные недра, в удивительную страну Плутонию, где перемешались различные минувшие геологические эпохи, и сохранился животный и растительный мир, давно исчезнувший с поверхности Земли. ",Фантастика
32,Джеймс Олдридж,https://www.100bestbooks.ru/item_info.php?id=14558,Последний дюйм,1957,1.67,1344,2246,"У опытного летчика Бена последнее время жизнь не очень-то ладится: египетская компания отказалась от его услуг, жена бросила, а со своим десятилетним сыном он никак не может наладить контакт. Чтобы подзаработать денег на подводной съемке акул, Бен отправляется на самолете к отдаленной бухте Красного моря. В опасное путешествие он берет с собой мальчика, даже не подозревая, какая трагедия разыграется под палящим африканским солнцем.",Рассказ
33,Уильям Голдинг,https://www.100bestbooks.ru/item_info.php?id=470,Повелитель мух,1954,1.49,1494,2231,"Роман-антиутопия, повествующий о группе детей, оказавшихся на необитаемом острове после автокатастрофы. Автор раскрывает схему социального взаимодействия людей, у которых еще не сформировались понятия о добре- зле, справедливости и пр.  Порою эта незрелость приводит к неоправданной жестокости. При этом, все действие пронизано глубоким символизмом (жертвоприношение, своя ""Религия"" и т.д.) За этот роман Голдинг был удостоен Нобелевской премии по литературе.",Антиутопия
34,Валентин Пикуль,https://www.100bestbooks.ru/item_info.php?id=5551,Мальчики с бантиками,1985,2.27,969,2205,"«Мальчики с бантиками» – автобиографическая повесть о жизни обитателей Соловецких островов в стенах Школы юнг, где автор выступает в роли главного героя под именем Савки Огурцова.",Повесть
35,Борис Васильев,https://www.100bestbooks.ru/item_info.php?id=3036,Завтра была война,1984,1.49,1450,2168,"Драматическая повесть о поколении, оказавшемся на пороге взрослой жизни. Действие происходит в канун Отечественной войны в провинциальном городке. Юным героям, открытым для дружбы и любви, приходится столкнуться с политическим фанатизмом, предательством и ложью, пережить страшные потери. Но они сумеют сохранить душевную чистоту и верность идеалам. И именно такие, как они, защитят Родину в боях Отечественной войны…",О войне
36,Джек Лондон,https://www.100bestbooks.ru/item_info.php?id=17594,Сын волка,1899,2.47,873,2162,Закаленный суровым Севером смелый путешественник Скрэф Маккензи намерен взять себе в жены девушку из местного индейского племени Стиксов. Однако он сталкивается с упорным не желанием индейцев делиться своими женщинами с белыми пришельцами,Рассказ
37,Джек Лондон,https://www.100bestbooks.ru/item_info.php?id=17593,Белое безмолвие,1899,2.02,1057,2141,"Переход через белую пустыню снега и льда может таить в себе множество опасностей. В этом гибельном месте многое зависит от провизии, стойкости собак в упряжи, и конечно же от крепости собственного духа, чтобы не сойти с ума от обступающего со всех сторон Белого Безмолвия.",Рассказ
38,Герман Гессе,https://www.100bestbooks.ru/item_info.php?id=3469,Демиан,1919,2.09,971,2035,"Едва появившись на книжном рынке в 1919 г., роман крупнейшего прозаика, поэта, эссеиста, одного из классиков немецкой и мировой литературы Германа Гессе «Демиан» сразу завоевал огромную популярность. Томас Манн писал: «Незабываемо электризующее действие, вызванное вскоре после Первой мировой войны романом “Демиан”, произведением, которое с беспощадной точностью задело нерв эпохи и вызвало благодарное восхищение целого поколения молодежи…»",Классика
39,Рафаэль Сабатини,https://www.100bestbooks.ru/item_info.php?id=4171,Одиссея Капитана Блада,1922,1.1,1656,1835,"Осуждённый за преступление, которого он не совершал, и проданный в рабство своим же соотечественникам, он дерзко возвращает себе свободу. Перед ним трепещет все Карибское море, а он страдает при мысли о том, что «пират и убийца» обречён на презрение любимой девушки. И кто бы мог предположить, что человеку, поставившему себя вне закона, предложат кресло губернатора острова Ямайки?  «Потеряв ещё несколько драгоценных минут, батареи наконец открыли огонь. Прозвучал ужасающей силы бортовой залп «Арабеллы», поднимавшей все свои паруса. Взбешённые испанцы на мгновение увидели её красный корпус, освещённый огромной вспышкой огня. Скрип фалов утонул в грохоте залпа, и «Арабелла» исчезла, как призрак». Роман «Одиссея капитана Блада», оказался настолько популярен, что Сабатини написал еще две книги-продолжения: «Хроника капитана Блада» и «Удачи капитана Блада».",Роман
40,Клайв Льюис,https://www.100bestbooks.ru/item_info.php?id=510,Хроники Нарнии,1950,0.86,2109,1834,"Цикл романов про удиветельную страну Нарнию, мудрого Льва , злую колдунью и четырех детей, ставших правителями в волшебной стране. 1. «Лев, Колдунья и Платяной шкаф» (The Lion, the Witch and the Wardrobe, 1950)2. «Принц Каспиан» (Prince Caspian, 1951)3. «„Покоритель зари“, или Плавание на край света» (The Voyage of the Dawn Treader, 1952)4. «Серебряное кресло» (The Silver Chair, 1953)5. «Конь и его мальчик» (The Horse and His Boy, 1954)6. «Племянник чародея» (The Magician’s Nephew, 1955)7. «Последняя битва» (The Last Battle, 1956)",Фэнтези
41,Владимир Железников,https://www.100bestbooks.ru/item_info.php?id=2325,Чучело,1981,2.44,723,1765,"Знаменитая повесть, по которой был снят одноименный фильм, в свое время вызвавший целую лавину откликов и споров. История, произошедшая с шестиклассницей Леной Бессольцевой, которой впервые в жизни пришлось столкнуться с подлостью и предательством, вряд ли кого оставит равнодушным. Потому что далеко не каждому в такой ситуации удается выстоять и победить.",Повесть
42,Гектор Мало,https://www.100bestbooks.ru/item_info.php?id=2340,Без семьи,1878,1.56,987,1540,"В этой книге представлены самые увлекательные из произведений французского писателя Гектора Мало (1830–1907). Это романы «Без семьи» и «Ромен Кальбри». Их объединяет общая тема – приключения мальчиков-сирот, которым пришлось пережить много невзгод и не утратить при этом бодрости духа. Несмотря на грустные страницы, эти романы согреты юмором, оживлены веселыми и забавными эпизодами из жизни ребят. «Без семьи» – это рассказ о жизни и приключениях мальчика Реми, который долгое время не знает, кто его родители, и скитается по чужим людям как сирота.",Роман
43,Рувим Фраерман,https://www.100bestbooks.ru/item_info.php?id=7136,"Дикая собака Динго, или Повесть о первой любви",1939,2.64,560,1481,"Повесть «Дикая собака Динго» давно вошла в золотой фонд советской детской литературы. Это лирическое, полное душевной теплоты и света произведение о товариществе и дружбе, о нравственном взрослении подростков.",Детская литература
44,Павел Санаев,https://www.100bestbooks.ru/item_info.php?id=778,Похороните меня за плинтусом,1995,0.61,1891,1161,"Повесть о 9-летнем мальчике Саше Савельеве. Он живет у бабушки с дедушкой, потому что бабушка не доверяет воспитание ребенка своей дочери. Она осуждает «беспутную» дочь, нашедшую нового мужа, считает его «бездарным художником», «карликом-кровопийцей» и «алкашом». На первый взгляд, бабушка предстает перед нами настоящим тираном, но, продвигаясь вглубь рассказа, мы понимаем, что это совсем не так…",Повесть
45,Валентина Осеева,https://www.100bestbooks.ru/item_info.php?id=832,Динка,1959,1.4,788,1110,"В книге, ставшей любимой для многих поколений детей, рассказывается о детстве Динки, о ее крепкой дружбе с сиротой Ленькой и приключениях, которые они вместе переживают. Добрая и искренняя, взбалмошная и неугомонная Динка навсегда притягивает и очаровывает читателя. ",Детская литература
47,Диана Сеттерфилд,https://www.100bestbooks.ru/item_info.php?id=3243,Тринадцатая сказка,2006,1.47,436,641,"Впервые на русском – «Тринадцатая сказка» Дианы Сеттерфилд – признанный шедевр современной английской прозы, книга, открывшая для широкой публики жанр «неоготики» и заставившая англо-американских критиков заговорить о возвращении золотого века британского романа, овеянного именами Шарлотты Бронте и Дафны дю Морье. Дебютный роман скромной учительницы, права на который были куплены за небывалые для начинающего автора деньги (800 тысяч фунтов за британское издание, миллион долларов – за американское), обогнал по продажам бестселлеры последних лет, был моментально переведен на несколько десятков языков и удостоился от рецензентов почетного имени «новой „Джейн Эйр”».",Мистика
48,Сьюзен Коллинз,https://www.100bestbooks.ru/item_info.php?id=7612,Голодные Игры,2008,1.11,518,579,"Трилогия американской писательницы Сьюзен Коллинз. В трилогию входят романы «Голодные игры» 2008 года, «И вспыхнет пламя» 2009 года и «Сойка-пересмешница» 2010 года. Действие происходит в постапокалиптическом мире Панем (англ. Panem), расположенном на территории бывшей Северной Америки. После неизвестной глобальной катастрофы возник город-государство Капитолий, вокруг которого сосредоточены двенадцать округов — дистриктов, снабжающих столицу разнообразным сырьем. Весьма характерно описано классовое деление Панема: богатые жители Капитолия шикуют за счёт бедных, голодающих и угнетённых жителей дистриктов (причем не всех, от чего ситуация выглядит более остро). Около 74 лет назад от описываемых в романах событий, недовольные таким положением вещей жители Дистрикта-13 восстали. Бунт был жестоко подавлен, дистрикт официально уничтожен, и в память об этом (и в назидание другим дистриктам) Капитолий устраивает ежегодный развлекательный турнир — Голодные игры.",Современная проза
49,Леонид Габышев,https://www.100bestbooks.ru/item_info.php?id=12260,Одлян или Воздух свободы,1989,1.21,294,357,"У Габышева есть два дара - рассказчика и правды, один от природы, другой от человека. Его повествование - о зоне. Воздухом зоны вы начинаете дышать с первой страницы и с первых глав, посвященных еще вольному детству героя. Здесь все - зона, от рождения. Дед - крестьянин, отец - начальник милиции, внук - зек. Центр и сердце повести - колония для несовершеннолетних Одлян. Одлян - имя это станет нарицательным, я уверен. Это детские годы крестьянского внука, обретающего свободу в зоне, постигающего ее смысл, о котором слишком многие из нас, проживших на воле, и догадки не имеют. Важно и то, что время не удалено от нас, мы его еще хорошо помним. Это конец 60-х - начало 70-х, когда страна погружалась во все более глубокий сон. Я не хочу опережать повесть пересказом - прочтите. Прочтите и сравните свой сон с реальностью.",Повесть
50,Валентина Осеева,https://www.100bestbooks.ru/item_info.php?id=2334,Васёк Трубачёв и его товарищи,1947—1951,0.75,1881,1426,"Герои трилогии «Васёк Трубачёв и его товарищи» жили, учились, озорничали, дружили и ссорились несколько десятилетий назад, но тем интереснее совершить путешествие на «машине времени» и заглянуть в их мир. Вот только безоблачная пора детства для Трубачёва и его друзей оказалась слишком короткой: её оборвала Великая Отечественная война.",Детская литература
52,Кир Булычев,https://www.100bestbooks.ru/item_info.php?id=10808,Подземелье ведьм,1987,1.22,985,1204,"Вторая часть приключений Андрея Брюса Это истории о приключениях человека, который не любил приключений. Истории о подвигах героя, ненавидевшего геройство. Истории о космических странствиях легендарного агента КФ – Андрея Брюса, истории контактов с внеземными цивилизациями и войн с жестокимипришельцами – `чужими`. Истории, в которых есть все, что должно быть в действительно хорошей фантастике, – погони и сражения, дружба и отвага, блестящий юмор, точная, глубокая мысль – и свободный полет неподражаемой фантазии Кира Булычева…",Детская литература
